"TestName"	"Source"	"TestAbbreviation"	"QuestionNumber"	"Question"	"Format"	"PossibleValues"	"Units"	"StataVariableName"	"Calculated"	"Seattle"	"Portland"	"Cincinnati"	"EmoryFU"	"EmoryBL"	"PennBL"	"UCLABL"	"JHU"	"Notes"
"NA"	"NA"	"NA"	"NA"	"PaNUC Subject ID"	"String"	"NA"		"subject_id"		"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"		
"NA"	"NA"	"NA"	"NA"	"Summary ID Variable (combo of all other site-specific IDs)"	"String"	"NA"		"summary_id"		"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"		
"NA"	"NA"	"NA"	"NA"	"The visit number for a subject within a site (e.g. if a subject is in Seattle and Pre-Panuc, this visit number refers to their visit within the Seattle or Pre-Panuc group. The subject can have the same visit number in the other group. For insta"	"String"	"NA"		"test_collection_short_name"	"Y"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"		
"NA"	"NA"	"NA"	"NA"	"The visit number for a subject (e.g. if a subject is in Seattle and Pre-Panuc, this visit number refers to their visit overall. Each visit number for the subject should be unique. For instance, if someone was seen three times in pre-panuc and o"	"String"	"NA"		"visit_number"	"Y"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"		
"NA"	"NA"	"NA"	"NA"	"Median Collection Date (the median date from all of the other test collection dates the subject was seen for the visit year)"	"Date"	"<= Current Date"	"Date"	"collectiondate_median"	"Y"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"no"		
"NA"	"NA"	"NA"	"NA"	"Visit Age (the age of the subject for the median collection date)"	"Date"	">=0"	"Years"	"agevisit"	"Y"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"		
"NA"	"NA"	"NA"	"NA"	"Site - Each different study at a site has a different name"	"String"	"Seattle VA; Portland VA; Seattle VA - VL (Pre-Panuc); Penn; UCLA; UCLA - BL (PEG); Emory University; Emory University - BL; University of Cincinnati"		"site"		"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"		
"NA"	"NA"	"NA"	"NA"	"Site - All studies from one site have the same name"	"String"	"Seattle VA; Portland VA; Penn; UCLA; Emory University; University of Cincinnati"		"site_general"		"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"		
"NA"	"NA"	"NA"	"NA"	"Subject attribute value of ""Disqualified PANUC Seattle VA""?"	"String"	"Disqualified PANUC Seattle VA"		"exclude"		"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"		
"NA"	"NA"	"NA"	"NA"	"Is this a ZKW subject?"	"String"	"ZKW Subject"		"zkw"		"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"		
"Demographics"	"PD-Doc"	"Demographics"	"NA"	"Age at Demographics Questionnaire Administration"	"Numeric"	">=0"	"Years"	"age_demo"	"Y"	"yes"	"yes"			"yes"	"yes"	"no"		
"Demographics"	"PD-Doc"	"Demographics"	"2"	"Subject's Gender"	"String"	"Female; Male"		"gender"		"yes"	"yes"			"yes"	"yes"	"yes"		
"Demographics"	"PD-Doc"	"Demographics"	"3"	"Hispanic/Latino"	"Nominal Code"	"0=No; 1=Yes; 2=Unknown/Not Reported"		"race_hispanic"		"yes"	"yes"			"no"	"no"	"yes"		
"Demographics"	"PD-Doc"	"Demographics"	"NA"	"Race"	"String"	"NA"		"race"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Demographics"	"PD-Doc"	"Demographics"	"5"	"Highest Level of Education"	"Nominal Code"	"1 = < 9th grade
2 = 9th to 12th grade, no diploma
3 = High school graduate/GED
4 = Some college, no degree
5 = Associate degree
6 = Bachelor’s degree
7 = Graduate or professional degree"		"education_level"		"yes"	"yes"			"no"	"no"	"no"		
"Demographics"	"UCLA, Penn, Emory, PaGER"	"Demographics"	"NA"	"Years of Education"	"Numeric"	">=0"	"Years"	"education_years"		"yes"	"yes"			"yes"	"yes"	"yes"		
"Demographics"	"Combo Variable"	"Demographics"	"NA"	"Years of Education"	"Numeric"	">=0; comprised of the education_years and education_level variable if education_years was unavailable.  Has been harmonized across sites and should be used in analyses instead of education_years"	"Years"	"education_years_combo"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Demographics"	"PD-Doc"	"Demographics"	"8"	"Handedness"	"Nominal Code"	"1 = Right, 2 = Left, 3 = Mixed"		"handedness"		"yes"	"yes"			"yes"	"no"	"no"		
"Consensus Conference"	"PaNUC"	"Consensus"	"NA"	"Age at Consensus Conference"	"Numeric"	">=0"	"Years"	"age_consensus"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Consensus Conference"	"PaNUC"	"Consensus"	"NA"	"Cognitive Diagnosis"	"Categorical"	"No cognitive impairment; Cognitive impairment, no dementia; Dementia; Other"		"cognitive_status"		"yes"	"yes"			"no"	"yes"	"no"		
"Consensus Conference"	"PaNUC"	"Consensus"	"NA"	"Parkinsonism Diagnosis"	"Categorical"	"PD;PSP;MSA;CBD;DLB;Other;Unaffected"		"parkinsonism_status"		"yes"	"yes"			"yes"	"yes"	"yes"		
"Consensus Conference"	"PaNUC"	"Consensus"	"NA"	"Should the data for the visit be excluded?"	"String"	"Yes; No"		"exclude_status"		"yes"	"yes"			"no"	"no"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"NA"	"Age at Onset"	"Numeric"	">=0 & <=current age"	"Years"	"ageatonset"	"Y"	"yes"	"yes"			"yes"	"yes"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"NA"	"Duration of Disease (since symptom onset)"	"Numeric"	"<=current age"	"Years"	"disease_duration_onset"	"Y"	"yes"	"yes"			"yes"	"yes"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"NA"	"Age of PD diagnosis"	"Numeric"	">=0"	"Years"	"agepddx"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"PD Features"	"PD-Doc"	"PD Features"	"NA"	"Duration of Disease (since diagnosis)"	"Numeric"	"<=current age"	"Years"	"disease_duration_dx"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"PD Features"	"PD-Doc"	"PD Features"	"3a"	"Was resting tremor present at diagnosis?"	"Categorical/Nominal Code"	";0;1;U;-900;-901;-902;-903;-904"		"dx_tremor"		"yes"	"yes"			"no"	"no"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"3b"	"Was rigidity present at diagnosis?"	"Categorical/Nominal Code"	";0;1;U;-900;-901;-902;-903;-904"		"dx_rigidity"		"yes"	"yes"			"no"	"no"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"3c"	"Was bradykinesia present at diagnosis?"	"Categorical/Nominal Code"	";0;1;U;-900;-901;-902;-903;-904"		"dx_bradykinesia"		"yes"	"yes"			"no"	"no"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"3d"	"Was postural instability present at diagnosis?"	"Categorical/Nominal Code"	";0;1;U;-900;-901;-902;-903;-904"		"dx_instability"		"yes"	"yes"			"no"	"no"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"3e"	"Were other symptoms present at diagnosis?"	"Categorical/Nominal Code"	";0;1;U;-900;-901;-902;-903;-904"		"dx_other_b"		"yes"	"yes"			"no"	"no"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"3e specify"	"Were other symptoms present at diagnosis? Specify"	"String"	"NA"		"dx_other"		"yes"	"yes"			"no"	"no"	"no"		
"PD Features"	"PD-Doc"	"PD Features"	"4"	"Side predominantely affected at onset"	"Nominal Code"	"1=Left;2=Right;3=Symmetric;-900;-901;-902;-903"		"dx_dominant_side"		"yes"	"yes"			"no"	"no"	"no"		
"Modified H&Y"	"Modified H&Y"	"Modified H&Y"	"NA"	"Age at Modified H&Y Assessment"	"Numeric"	">=0"	"Years"	"age_mod_hy"	"Y"	"yes"	"yes"			"no"	"yes"	"yes"		
